season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
4,1,54,Fun Run,Greg Daniels,Greg Daniels,2007-09-27,4001,9700000.0
4,2,55,Fun Run,Greg Daniels,Greg Daniels,2007-09-27,4002,9700000.0
4,3,56,Dunder Mifflin Infinity,Craig Zisk,Michael Schur,2007-10-04,4003,8490000.0
4,4,57,Dunder Mifflin Infinity,Craig Zisk,Michael Schur,2007-10-04,4004,8490000.0
4,5,58,Launch Party,Ken Whittingham,Jennifer Celotta,2007-10-11,4005,8910000.0
4,6,59,Launch Party,Ken Whittingham,Jennifer Celotta,2007-10-11,4006,8910000.0
4,7,60,Money,Paul Lieberstein,Paul Lieberstein,2007-10-18,4007,8500000.0
4,8,61,Money,Paul Lieberstein,Paul Lieberstein,2007-10-18,4008,8500000.0
4,9,62,Local Ad,Jason Reitman,B. J. Novak,2007-10-25,4009,8980000.0
4,10,63,Branch Wars,Joss Whedon,Mindy Kaling,2007-11-01,4010,8390000.0
4,11,64,Survivor Man,Paul Feig,Steve Carell,2007-11-08,4011,8289999.999999999
4,12,65,The Deposition,Julian Farino,Lester Lewis,2007-11-15,4012,8860000.0
4,13,66,Dinner Party,Paul Feig,Gene Stupnitsky & Lee Eisenberg,2008-04-10,4013,9220000.0
4,14,67,Chair Model,Jeffrey Blitz,B. J. Novak,2008-04-17,4014,9810000.0
4,15,68,Night Out,Ken Whittingham,Mindy Kaling,2008-04-24,4015,7560000.0
4,16,69,Did I Stutter?,Randall Einhorn,Brent Forrester & Justin Spitzer,2008-05-01,4016,7670000.0
4,17,70,Job Fair,Tucker Gates,Lee Eisenberg & Gene Stupnitsky,2008-05-08,4017,7220000.0
4,18,71,"Goodbye, Toby",Paul Feig,Jennifer Celotta & Paul Lieberstein,2008-05-15,4018,8070000.0
4,19,72,"Goodbye, Toby",Paul Feig,Jennifer Celotta & Paul Lieberstein,2008-05-15,4019,8070000.0
5,1,73,Weight Loss,Paul Feig,Lee Eisenberg & Gene Stupnitsky,2008-09-25,5001,9200000.0
5,2,74,Weight Loss,Paul Feig,Lee Eisenberg & Gene Stupnitsky,2008-09-25,5002,9200000.0
5,3,75,Business Ethics,Jeffrey Blitz,Ryan Koh,2008-10-09,5003,8990000.0
5,4,76,Baby Shower,Greg Daniels,Aaron Shure,2008-10-16,5004,8070000.0
5,5,77,Crime Aid,Jennifer Celotta,Charlie Grandy,2008-10-23,5005,7740000.0
5,6,78,Employee Transfer,David Rogers,Anthony Q. Farrell,2008-10-30,5006,9320000.0
5,7,79,Customer Survey,Stephen Merchant,Lester Lewis,2008-11-06,5007,8350000.0
5,8,80,Business Trip,Randall Einhorn,Brent Forrester,2008-11-13,5009,8180000.0
5,9,81,Frame Toby,Jason Reitman,Mindy Kaling,2008-11-20,5008,8400000.0
5,10,82,The Surplus,Paul Feig,Gene Stupnitsky & Lee Eisenberg,2008-12-04,5013,8330000.0
5,11,83,Moroccan Christmas,Paul Feig,Justin Spitzer,2008-12-11,5010,8790000.0
5,12,84,The Duel,Dean Holland,Jennifer Celotta,2009-01-15,5011,8500000.0
5,13,85,Prince Family Paper,Asaad Kelada,B. J. Novak,2009-01-22,5012,8740000.0
5,14,86,Stress Relief,Jeffrey Blitz,Paul Lieberstein,2009-02-01,5016,22910000.0
5,15,87,Stress Relief,Jeffrey Blitz,Paul Lieberstein,2009-02-01,5017,22910000.0
5,16,88,Lecture Circuit: Part 1,Ken Kwapis,Mindy Kaling,2009-02-05,5014,8390000.0
5,17,89,Lecture Circuit: Part 2,Ken Kwapis,Mindy Kaling,2009-02-12,5015,8890000.0
5,18,90,Blood Drive,Randall Einhorn,Brent Forrester,2009-03-05,5018,8630000.0
5,19,91,Golden Ticket,Randall Einhorn,Mindy Kaling,2009-03-12,5019,7510000.0
5,20,92,New Boss,Paul Feig,Lee Eisenberg & Gene Stupnitsky,2009-03-19,5020,7950000.0
5,21,93,Two Weeks,Paul Lieberstein,Aaron Shure,2009-03-26,5021,8450000.0
5,22,94,Dream Team,Paul Feig,B. J. Novak,2009-04-09,5022,7200000.0
5,23,95,Michael Scott Paper Company,Gene Stupnitsky,Justin Spitzer,2009-04-09,5023,7940000.0
5,24,96,Heavy Competition,Ken Whittingham,Ryan Koh,2009-04-16,5024,8240000.0
5,25,97,Broke,Steve Carell,Charlie Grandy,2009-04-23,5025,7210000.0
5,26,98,Casual Friday,Brent Forrester,Anthony Q. Farrell,2009-04-30,5026,7310000.0
5,27,99,Cafe Disco,Randall Einhorn,Warren Lieberstein & Halsted Sullivan,2009-05-07,5027,7710000.0
5,28,100,Company Picnic,Ken Kwapis,Jennifer Celotta & Paul Lieberstein,2009-05-14,5028,6720000.0
6,1,101,Gossip,Paul Lieberstein,Paul Lieberstein,2009-09-17,6001,8199999.999999999
6,2,102,The Meeting,Randall Einhorn,Aaron Shure,2009-09-24,6002,7330000.0
6,3,103,The Promotion,Jennifer Celotta,Jennifer Celotta,2009-10-01,6003,7280000.0
6,4,104,Niagara: Part 1,Paul Feig,Greg Daniels & Mindy Kaling,2009-10-08,6004,9420000.0
6,5,105,Niagara: Part 2,Paul Feig,Greg Daniels & Mindy Kaling,2009-10-08,6005,9420000.0
6,6,106,Mafia,David Rogers,Brent Forrester,2009-10-15,6006,8100000.0
6,7,107,The Lover,Lee Eisenberg,Lee Eisenberg & Gene Stupnitsky,2009-10-22,6007,8520000.0
6,8,108,Koi Pond,Reggie Hudlin,Warren Lieberstein & Halsted Sullivan,2009-10-29,6009,8199999.999999999
6,9,109,Double Date,Seth Gordon,Charlie Grandy,2009-11-05,6008,7940000.0
6,10,110,Murder,Greg Daniels,Daniel Chun,2009-11-12,6010,7760000.0
6,11,111,Shareholder Meeting,Charles McDougall,Justin Spitzer,2009-11-19,6011,7430000.0
6,12,112,Scott's Tots,B. J. Novak,Gene Stupnitsky & Lee Eisenberg,2009-12-03,6013,8100000.0
6,13,113,Secret Santa,Randall Einhorn,Mindy Kaling,2009-12-10,6014,8510000.0
6,14,114,The Banker,Jeffrey Blitz,Jason Kessler,2010-01-21,6012,7290000.0
6,15,115,Sabre,John Krasinski,Jennifer Celotta,2010-02-04,6015,7360000.0
6,16,116,Manager and Salesman,Marc Webb,Mindy Kaling,2010-02-11,6016,7400000.0
6,17,117,The Delivery: Part 1,Seth Gordon,Daniel Chun,2010-03-04,6018,9000000.0
6,18,118,The Delivery: Part 2,Harold Ramis,Charlie Grandy,2010-03-04,6019,9000000.0
6,19,119,St. Patrick's Day,Randall Einhorn,Jonathan Hughes,2010-03-11,6017,7510000.0
6,20,120,New Leads,Brent Forrester,Brent Forrester,2010-03-18,6020,7630000.0
6,21,121,Happy Hour,Matt Sohn,B. J. Novak,2010-03-25,6021,7170000.0
6,22,122,Secretary's Day,Steve Carell,Mindy Kaling,2010-04-22,6022,6300000.0
6,23,123,Body Language,Mindy Kaling,Justin Spitzer,2010-04-29,6023,7010000.0
6,24,124,The Cover-Up,Rainn Wilson,Gene Stupnitsky & Lee Eisenberg,2010-05-06,6024,6840000.0
6,25,125,The Chump,Randall Einhorn,Aaron Shure,2010-05-13,6025,6600000.0
6,26,126,Whistleblower,Paul Lieberstein,Warren Lieberstein & Halsted Sullivan,2010-05-20,6026,6600000.0
7,1,127,Nepotism,Jeffrey Blitz,Daniel Chun,2010-09-23,7001,8400000.0
7,2,128,Counseling,Jeffrey Blitz,B. J. Novak,2010-09-30,7002,7360000.0
7,3,129,Andy's Play,John Stuart Scott,Charlie Grandy,2010-10-07,7003,6950000.0
7,4,130,Sex Ed,Paul Lieberstein,Paul Lieberstein,2010-10-14,7004,7360000.0
7,5,131,The Sting,Randall Einhorn,Mindy Kaling,2010-10-21,7005,6870000.0
7,6,132,Costume Contest,Dean Holland,Justin Spitzer,2010-10-28,7006,8070000.0
7,7,133,Christening,Alex Hardcastle,Peter Ocko,2010-11-04,7007,7650000.0
7,8,134,Viewing Party,Ken Whittingham,Jon Vitti,2010-11-11,7008,7150000.0
7,9,135,WUPHF.com,Danny Leiner,Aaron Shure,2010-11-18,7009,7280000.0
7,10,136,China,Charles McDougall,Halsted Sullivan & Warren Lieberstein,2010-12-02,7010,7310000.0
7,11,137,Classy Christmas,Rainn Wilson,Mindy Kaling,2010-12-09,7011,7180000.0
7,12,138,Classy Christmas,Rainn Wilson,Mindy Kaling,2010-12-09,7012,7180000.0
7,13,139,Ultimatum,David Rogers,Carrie Kemper,2011-01-20,7013,8260000.0
7,14,140,The Seminar,B. J. Novak,Steve Hely,2011-01-27,7014,7930000.0
7,15,141,The Search,Michael Spiller,Brent Forrester,2011-02-03,7015,7290000.0
7,16,142,PDA,Greg Daniels,Robert Padnick,2011-02-10,7017,6900000.0
7,17,143,Threat Level Midnight,Tucker Gates,B. J. Novak,2011-02-17,7016,6410000.0
7,18,144,Todd Packer,Randall Einhorn,Amelie Gillette,2011-02-24,7018,6120000.0
7,19,145,Garage Sale,Steve Carell,Jon Vitti,2011-03-24,7019,7070000.0
